                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                  1.413,                0.97891,                 2.2211,                0.71088,                0.58647,                0.63843,                0.31512,                 1.9853,                 1.6619,                 3.1475,              0.0093565,              0.0093565,              0.0093565
                     67,                 1.4637,                0.94224,                  2.263,                 0.8993,                0.88364,                0.88511,                0.46075,                 1.6019,                 1.2466,                 2.6428,              0.0093466,              0.0093466,              0.0093466
                     68,                  1.517,                0.98515,                 2.2768,                 0.7067,                0.53218,                 0.6364,                0.34248,                 1.9644,                 2.2763,                  3.406,              0.0093367,              0.0093367,              0.0093367
                     69,                 1.4254,                 1.0101,                 2.2193,                0.71062,                 0.7976,                0.77072,                0.39348,                 1.6332,                 1.4337,                 2.5776,              0.0093268,              0.0093268,              0.0093268
                     70,                 1.4659,                 1.0033,                 2.2569,                0.75422,                0.90909,                0.83531,                0.55099,                 1.1937,                 1.0353,                 2.1463,              0.0093169,              0.0093169,              0.0093169
                     71,                 1.3938,                0.92546,                 2.1877,                  0.902,                0.85885,                0.91092,                0.57425,                 1.3512,                0.89669,                 2.3162,               0.009307,               0.009307,               0.009307
                     72,                 1.4142,                0.99419,                 2.2151,                0.63119,                0.51596,                0.52514,                0.30988,                 1.7942,                 1.9924,                 2.6824,              0.0092971,              0.0092971,              0.0092971
                     73,                 1.4121,                0.92038,                 2.2095,                0.86553,                0.91885,                0.91122,                0.56603,                 1.2377,                 1.2691,                 2.2149,              0.0092872,              0.0092872,              0.0092872
                     74,                  1.404,                0.95172,                 2.1936,                0.91714,                0.96364,                0.92841,                0.58903,                 1.2146,                 1.0931,                 2.2181,              0.0092773,              0.0092773,              0.0092773
                     75,                 1.3837,                 0.8519,                 2.1864,                0.87667,                0.88536,                0.89831,                0.59926,                 1.3596,                 1.2469,                 2.4069,              0.0092674,              0.0092674,              0.0092674
                     76,                 1.4739,                0.92404,                 2.2741,                0.86466,                0.71608,                0.83542,                 0.3778,                 2.0371,                 1.1801,                 3.4138,              0.0092575,              0.0092575,              0.0092575
                     77,                  1.419,                  0.933,                 2.2221,                0.83809,                0.66281,                 0.8101,                0.48136,                  1.462,                 1.5887,                 2.6218,              0.0092476,              0.0092476,              0.0092476
                     78,                 1.4063,                 0.9307,                 2.1894,                0.86022,                0.57251,                0.65565,                0.37886,                 1.4251,                 3.0637,                 2.5591,              0.0092377,              0.0092377,              0.0092377
                     79,                 1.4198,                0.90688,                 2.2215,                 0.3543,                0.29845,                0.23026,                0.12847,                 1.6339,                 2.7981,                 2.6679,              0.0092278,              0.0092278,              0.0092278
                     80,                 1.4335,                0.93527,                 2.2339,                0.62549,                0.61378,                0.42828,                0.23346,                 1.4279,                 3.1593,                 2.5009,              0.0092179,              0.0092179,              0.0092179
                     81,                 1.3853,                0.91523,                 2.1998,                0.24207,                0.31042,                0.15332,                0.06597,                 2.4016,                  8.634,                 5.0451,               0.009208,               0.009208,               0.009208
                     82,                 1.3869,                0.94505,                 2.1912,                0.84304,                0.91487,                0.91543,                0.56061,                 1.2995,                 1.0163,                 2.3278,              0.0091981,              0.0091981,              0.0091981
                     83,                 1.3365,                 0.8405,                 2.1199,                0.83647,                0.56866,                0.60353,                0.37056,                 1.6843,                 1.5905,                 2.7419,              0.0091882,              0.0091882,              0.0091882
                     84,                 1.3204,                0.84756,                 2.1412,                0.76564,                 0.5133,                0.51712,                0.27583,                 2.1058,                 2.3914,                 3.2063,              0.0091783,              0.0091783,              0.0091783
                     85,                 1.3525,                0.82798,                 2.1555,                0.79331,                0.60754,                 0.7063,                0.40473,                 1.7087,                 1.2444,                 2.8772,              0.0091684,              0.0091684,              0.0091684
                     86,                 1.3276,                0.80371,                 2.1205,                0.63505,                0.49534,                0.58998,                0.28585,                 2.1236,                 1.6033,                 3.5377,              0.0091585,              0.0091585,              0.0091585
                     87,                 1.3711,                  0.812,                 2.1601,                0.93092,                0.92727,                0.90306,                0.55479,                  1.304,                0.81994,                 2.3857,              0.0091486,              0.0091486,              0.0091486
                     88,                  1.405,                0.80818,                 2.1919,                0.65319,                0.70051,                0.56863,                0.35176,                 1.2758,                  2.026,                 2.3939,              0.0091387,              0.0091387,              0.0091387
                     89,                 1.3516,                0.87696,                 2.1755,                0.93058,                0.97106,                0.92181,                0.60223,                 1.1557,                0.70146,                 2.1662,              0.0091288,              0.0091288,              0.0091288
                     90,                 1.3697,                0.86917,                 2.1472,                0.94062,                0.97273,                0.93636,                0.64174,                 1.1865,                0.71119,                 2.1023,              0.0091189,              0.0091189,              0.0091189
                     91,                 1.3417,                0.79786,                 2.1496,                0.91911,                 0.6648,                0.72257,                0.44559,                 1.5169,                 1.4038,                 2.5262,               0.009109,               0.009109,               0.009109
                     92,                   1.36,                 0.8602,                  2.155,                0.93487,                0.87289,                0.90762,                0.59813,                 1.1991,                 1.0192,                 2.1828,              0.0090991,              0.0090991,              0.0090991
                     93,                 1.3511,                 0.8474,                  2.172,                0.86261,                0.71672,                0.87539,                0.53771,                 1.4094,                 1.4826,                 2.5121,              0.0090892,              0.0090892,              0.0090892
                     94,                 1.3212,                0.81238,                 2.1516,                0.92012,                0.91911,                0.94029,                0.58909,                 1.2727,                0.91009,                 2.2577,              0.0090793,              0.0090793,              0.0090793
                     95,                 1.3058,                0.83794,                 2.1516,                0.85747,                 0.8663,                0.88399,                0.55451,                 1.2916,                0.84114,                  2.358,              0.0090694,              0.0090694,              0.0090694
                     96,                 1.2664,                0.79214,                 2.0629,                0.92139,                0.96907,                 0.9483,                0.59548,                 1.2771,                0.81404,                 2.3463,              0.0090595,              0.0090595,              0.0090595
